This file was created using the 201901 Bloomberg database.

Missing data are indicated by -99.99.



,WML
199011    ,0.14
199012   ,-2.65
199101   ,-1.72
199102   ,-7.39
199103    ,1.93
199104   ,-0.02
199105    ,0.96
199106    ,1.14
199107    ,3.47
199108    ,3.39
199109    ,1.63
199110    ,2.45
199111    ,0.97
199112    ,3.18
199201    ,0.38
199202    ,1.18
199203    ,0.68
199204    ,0.01
199205   ,-0.01
199206    ,2.89
199207    ,0.97
199208   ,-3.72
199209    ,2.58
199210    ,1.46
199211    ,0.82
199212    ,1.55
199301    ,2.52
199302    ,0.98
199303    ,0.41
199304   ,-0.22
199305    ,0.55
199306    ,2.75
199307    ,2.21
199308    ,0.32
199309    ,0.45
199310   ,-0.28
199311   ,-4.80
199312    ,1.80
199401    ,1.99
199402    ,0.83
199403   ,-1.51
199404   ,-0.53
199405   ,-0.70
199406    ,0.07
199407   ,-0.73
199408    ,0.50
199409    ,1.12
199410    ,1.10
199411   ,-0.55
199412    ,1.66
199501   ,-1.21
199502    ,0.43
199503   ,-0.48
199504    ,1.16
199505    ,0.38
199506    ,2.80
199507    ,0.77
199508   ,-0.29
199509    ,3.08
199510    ,2.45
199511    ,0.27
199512   ,-0.87
199601   ,-0.57
199602    ,0.80
199603    ,0.23
199604    ,0.08
199605    ,1.71
199606   ,-0.06
199607   ,-2.49
199608    ,1.72
199609    ,2.09
199610    ,2.58
199611   ,-0.04
199612    ,0.68
199701    ,2.53
199702   ,-1.21
199703    ,0.96
199704    ,4.17
199705   ,-2.36
199706    ,0.83
199707    ,6.35
199708    ,0.04
199709    ,5.60
199710   ,-1.69
199711    ,2.85
199712    ,5.21
199801   ,-2.72
199802   ,-1.76
199803    ,2.98
199804    ,1.44
199805    ,1.64
199806    ,4.78
199807    ,3.77
199808    ,0.11
199809   ,-0.31
199810   ,-3.93
199811    ,0.59
199812    ,7.52
199901    ,4.85
199902   ,-1.08
199903   ,-2.68
199904   ,-7.22
199905   ,-0.62
199906    ,5.68
199907    ,1.34
199908    ,4.25
199909    ,4.67
199910    ,5.08
199911   ,11.15
199912   ,12.08
200001    ,2.99
200002   ,17.86
200003  ,-12.22
200004  ,-10.81
200005  ,-11.09
200006    ,6.92
200007   ,-2.70
200008    ,6.02
200009   ,-3.66
200010   ,-6.57
200011   ,-7.67
200012    ,3.63
200101  ,-14.01
200102    ,8.70
200103    ,5.54
200104   ,-5.06
200105    ,3.47
200106    ,4.50
200107    ,4.02
200108    ,7.00
200109    ,9.33
200110   ,-5.72
200111   ,-9.52
200112    ,1.04
200201    ,3.35
200202    ,5.29
200203   ,-2.02
200204    ,5.98
200205    ,2.59
200206    ,6.52
200207    ,3.04
200208    ,2.00
200209    ,8.79
200210   ,-4.48
200211  ,-10.64
200212    ,9.35
200301    ,1.45
200302    ,3.39
200303    ,1.67
200304   ,-8.21
200305   ,-5.76
200306   ,-2.70
200307   ,-2.47
200308   ,-0.92
200309    ,0.08
200310    ,4.61
200311    ,0.04
200312   ,-1.89
200401    ,2.85
200402   ,-0.23
200403    ,0.49
200404   ,-3.12
200405   ,-0.33
200406    ,2.13
200407   ,-1.94
200408    ,0.42
200409    ,2.30
200410   ,-0.36
200411    ,1.66
200412   ,-0.57
200501    ,2.47
200502    ,2.31
200503    ,1.15
200504    ,0.33
200505    ,0.41
200506    ,2.61
200507    ,0.88
200508    ,3.18
200509    ,3.31
200510   ,-1.10
200511    ,0.91
200512    ,2.64
200601    ,3.79
200602   ,-1.97
200603    ,2.15
200604    ,1.49
200605   ,-3.01
200606   ,-0.13
200607   ,-0.29
200608   ,-1.25
200609   ,-0.36
200610    ,0.59
200611    ,0.49
200612    ,1.37
200701    ,0.70
200702   ,-0.04
200703    ,1.80
200704    ,1.30
200705    ,0.81
200706    ,0.17
200707    ,2.57
200708   ,-0.88
200709    ,4.95
200710    ,3.82
200711   ,-0.46
200712    ,2.67
200801   ,-4.88
200802    ,5.15
200803    ,0.59
200804   ,-0.43
200805    ,2.76
200806    ,9.21
200807   ,-4.43
200808   ,-3.37
200809    ,0.10
200810    ,7.52
200811    ,4.22
200812   ,-2.35
200901    ,0.25
200902    ,2.19
200903   ,-9.12
200904  ,-24.25
200905  ,-10.17
200906    ,2.69
200907   ,-2.91
200908   ,-6.10
200909   ,-2.23
200910    ,1.61
200911    ,0.76
200912    ,2.03
201001   ,-2.25
201002    ,1.53
201003    ,4.13
201004    ,1.85
201005   ,-0.76
201006   ,-0.94
201007    ,0.27
201008    ,2.31
201009    ,2.25
201010    ,0.52
201011    ,4.33
201012   ,-0.40
201101   ,-1.60
201102    ,1.23
201103    ,1.39
201104    ,1.42
201105    ,0.32
201106    ,1.45
201107    ,1.91
201108   ,-0.81
201109   ,-2.81
201110   ,-1.22
201111    ,4.43
201112    ,2.02
201201   ,-6.76
201202   ,-2.59
201203    ,3.59
201204    ,4.91
201205    ,6.29
201206   ,-0.96
201207    ,3.72
201208   ,-1.67
201209   ,-1.22
201210    ,0.01
201211    ,1.07
201212   ,-1.78
201301    ,0.14
201302    ,3.21
201303    ,3.76
201304    ,3.08
201305   ,-1.41
201306    ,0.84
201307    ,1.60
201308   ,-1.29
201309    ,3.37
201310    ,0.31
201311    ,2.11
201312    ,1.09
201401    ,1.23
201402    ,1.52
201403   ,-2.30
201404   ,-3.40
201405    ,0.50
201406    ,0.26
201407    ,0.51
201408    ,0.42
201409    ,1.06
201410   ,-0.14
201411    ,0.80
201412    ,1.14
201501    ,3.93
201502   ,-2.36
201503    ,1.78
201504   ,-3.27
201505    ,4.29
201506    ,2.07
201507    ,3.51
201508   ,-0.66
201509    ,3.57
201510   ,-2.66
201511    ,2.07
201512    ,3.40
201601    ,0.66
201602   ,-2.68
201603   ,-2.76
201604   ,-3.22
201605    ,2.91
201606    ,6.01
201607   ,-1.79
201608   ,-3.95
201609    ,1.62
201610   ,-1.12
201611   ,-4.22
201612   ,-1.51
201701    ,1.67
201702   ,-1.86
201703    ,0.08
201704   ,-0.01
201705    ,1.10
201706    ,0.55
201707    ,1.74
201708    ,2.03
201709    ,0.03
201710    ,3.46
201711    ,0.52
201712   ,-1.08
201801    ,3.21
201802    ,2.45
201803   ,-1.09
201804   ,-0.49
201805    ,3.07
201806   ,-1.29
201807   ,-1.60
201808    ,3.48
201809    ,0.60
201810   ,-2.48
201811   ,-1.53
201812    ,1.50
